"","Sample","Eruption","Volume.km3.","num_min_age.wrt2000AD.","num_max_age.wrt2000AD.","Reference","Zone","SiO2","TiO2","Al2O3","FeOt","MgO","CaO","Na2O","K2O"
"142","l9320","Baejarfjall",1,12000,70000,"Maclennan2001","NNVZ",48.78,1.47,15.76,10.89,8.79,11.71,2.03,0.22
"143","H125","Ketilfjall",0.06,12000,70000,"Kokfelt2006","NNVZ",50.11,0.94,15.35,11.01,8.49,12.01,1.67,0.13
"144","l9352","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",49.04,0.74,17.24,8.8,8.28,13.89,1.76,0.04
"145","GAE01","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",46.971,1.633,14.693,11.308,12.043,11.065,1.753,0.158
"146","GAE02","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.846,1.943,15.431,11.362,8.797,12.078,1.94,0.188
"147","GAE03","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.972,2.051,15.068,11.647,8.576,12.109,1.953,0.195
"148","GAE13","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.275,1.76,15.391,11.152,10.446,11.556,1.867,0.172
"149","408718","Gaesafjoll",7,12000,70000,"Breddam2000Peate2010","NNVZ",47.93,2.027,14.92,11.641,8.357,11.96,2.05,0.205
"150","408719","Gaesafjoll",7,12000,70000,"Breddam2000Peate2010","NNVZ",47.85,2.024,15.08,11.502,8.187,12.03,2.04,0.202
"151","GAE12","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.443,1.752,15.408,11.121,10.225,11.634,1.852,0.178
"152","408722","Gaesafjoll",7,12000,70000,"Breddam2000Peate2010","NNVZ",47.94,2.019,15.05,11.552,8.17,11.99,2.01,0.202
"153","408723","Gaesafjoll",7,12000,70000,"Breddam2000Peate2010","NNVZ",47.74,2.013,15.04,11.553,8.383,11.98,2.02,0.199
"154","GAE11","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.082,2.182,14.742,12.002,8.229,12.137,1.969,0.208
"155","I646","Kroflueldar",0.25,25,35,"Thirlwall2004","NNVZ",NA,NA,NA,NA,6,NA,NA,NA
"156","KK1@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.2,1.61,13.84,13.82,6.61,11.06,2.35,0.14
"157","l9363","Gaesafjoll",7,12000,70000,"Maclennan2001","NNVZ",46.93,2.09,14.61,12.9,9.12,11.75,2.01,0.2
"158","l9362","Gaesafjoll",7,12000,70000,"Maclennan2001","NNVZ",46.87,1.83,14.05,12.1,11.74,11.01,1.85,0.17
"159","IC44A","Gaesafjoll",7,12000,70000,"Hardarson1997","NNVZ",47.19,1.85,15.09,11.63,10.3,11.39,2,0.16
"160","IC44B","Gaesafjoll",7,12000,70000,"Hardarson1997","NNVZ",47,1.67,15.34,11.12,11.17,11.21,2.01,0.15
"161","IC44C","Gaesafjoll",7,12000,70000,"Hardarson1997","NNVZ",46.21,1.57,13.43,12.1,14.41,10.04,1.74,0.14
"162","l9318","Kviholafjoll",0.06,12000,70000,"Maclennan2001","NNVZ",48.78,1.26,15.09,11.01,9.97,11.43,1.94,0.2
"163","l9317","Kviholafjoll",0.06,12000,70000,"Maclennan2001","NNVZ",48.73,1.33,15.06,10.95,9.86,11.64,1.92,0.18
"164","l9319","Baejarfjall",1,12000,70000,"Maclennan2001","NNVZ",48.97,1.71,14.93,11.78,8.01,11.77,2.19,0.26
"165","l9424A","Thorunnarfjoll",0.2,12000,70000,"Maclennan2001","NNVZ",48.49,2.1,14.45,13,8.08,10.81,2.37,0.27
"166","408653","Klappahraun",NA,0,12000,"Skovgaard2001Peate2010","NNVZ",49.14,0.425,15.915,7.942,11.355,13.551,1.462,0.024
"167","GAE08","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.789,1.844,15.856,11.076,8.973,11.957,1.919,0.186
"168","GAE09","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.02,1.607,15.566,10.928,11.32,11.259,1.791,0.15
"169","GAE10","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.677,1.847,15.578,11.201,9.409,11.826,1.886,0.18
"170","GAE07","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.795,1.807,15.894,11.047,9.078,11.91,1.895,0.179
"171","GAE27","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.127,2.12,15.212,11.728,7.722,12.391,2.089,0.185
"172","GAE04","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.816,1.939,15.573,11.353,8.757,12.064,1.9,0.184
"173","GAE05","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.041,1.652,15.381,11.036,11.286,11.246,1.838,0.157
"174","GAE06","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.936,1.954,15.508,11.35,8.651,12.029,1.966,0.193
"175","KK155@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.69,1.84,13.98,12.36,6.82,11.47,2.1,0.31
"176","GAE26","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.901,1.971,15.655,11.316,8.331,12.234,2.012,0.174
"177","l9350","Ketilfjall",0.06,12000,70000,"Maclennan2001","NNVZ",49.97,1.65,15.81,12.25,5.95,11.56,2.27,0.14
"178","l94110","Ketilfjall",0.06,12000,70000,"Maclennan2001","NNVZ",49.77,1.61,16.2,11.92,5.96,11.72,2.24,0.22
"179","H17","Flaedar",NA,1150,12000,"Kokfelt2006","NNVZ",50.13,0.98,14.99,11.35,8.06,12.08,1.96,0.14
"180","KK159@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.52,1.78,14.09,12.79,6.42,11.42,2.29,0.27
"181","KK160@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.64,1.86,13.13,15.39,5.76,9.98,2.51,0.31
"182","KK161@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.22,1.45,14.74,10.93,7.07,13.09,2.01,0.15
"183","KK162@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",58.51,1.66,13.57,10.52,3.49,7.36,3.21,1.17
"184","l9366","Draugarhraun",0.1,10300,12000,"Nicholson1991","NNVZ",51.09,2.02,13.38,14.77,5.49,9.73,2.65,0.42
"185","l9310","Borgarhraun",0.9,8500,10300,"Slater2001","NNVZ",48.52,0.71,13.97,9.44,12.7,12.81,1.58,0.05
"186","IT3a","Theistareykirhraun",NA,4000,4900,"Thirlwall2004","NNVZ",NA,NA,NA,NA,9.1,NA,NA,NA
"187","l9309","Borgarhraun",0.9,8500,10300,"Slater2001Stracke2003a","NNVZ",48.3,0.8,14.37,9.93,12.33,12.28,1.71,0.06
"188","FH9860","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.477,0.785,14.538,9.811,11.86,12.474,1.762,0.06
"189","l9356","Langaviti",0.8,8500,10300,"Slater2001Stracke2003a","NNVZ",48.56,0.57,13.3,8.76,14.35,12.88,1.36,0.03
"190","GAE25","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.419,2.244,14.804,11.956,7.402,12.474,2.049,0.204
"191","FH9861","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.838,0.768,14.461,9.505,11.351,13.159,1.636,0.061
"192","KK100@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.55,1.98,14.83,13.14,5.65,10.45,2.5,0.41
"193","KK99@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.53,1.67,13.77,14.1,6.35,10.49,2.43,0.27
"194","KK153@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",52.95,1.03,15.63,9.41,6.42,11.53,2.27,0.47
"195","KK23@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.01,1.46,15.62,10.85,6.79,12.77,2.02,0.17
"196","KK27@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.64,2.05,14.53,13.41,5.59,10.36,2.49,0.44
